nameseq,k1,k2,k3,k4,k5,k6,k7,k8,k9,k10,k11,k12,label
MT477843.1,0.1996194678963774,0.19999926117256173,0.1999999986451789,0.19999999999699458,0.19999999999999246,0.19999999999999998,0.2,0.2,0.2,0.2,0.2,0.2,1
MT477844.1,0.19961893643836515,0.19999925987022,0.19999999864100534,0.19999999999697649,0.1999999999999924,0.19999999999999998,0.2,0.2,0.2,0.2,0.2,0.2,1
MT477845.1,0.19961876833935077,0.19999925773240626,0.19999999863499876,0.19999999999696574,0.19999999999999238,0.19999999999999998,0.2,0.2,0.2,0.2,0.2,0.2,1
MT477846.1,0.199619127572682,0.19999925965932625,0.19999999863943235,0.19999999999697443,0.1999999999999924,0.19999999999999998,0.2,0.2,0.2,0.2,0.2,0.2,1
MT477847.1,0.19961896304179652,0.19999925979483935,0.19999999864096443,0.1999999999969793,0.1999999999999924,0.19999999999999998,0.2,0.2,0.2,0.2,0.2,0.2,1
MT477848.1,0.1996189105777442,0.19999926024012277,0.1999999986416136,0.19999999999698026,0.1999999999999924,0.19999999999999998,0.2,0.2,0.2,0.2,0.2,0.2,1
MT477849.1,0.19961911631870968,0.1999992597571861,0.19999999864027268,0.19999999999697457,0.1999999999999924,0.19999999999999998,0.2,0.2,0.2,0.2,0.2,0.2,1
MT477850.1,0.19961909739844202,0.19999925975337834,0.19999999864128795,0.19999999999697946,0.1999999999999924,0.19999999999999998,0.2,0.2,0.2,0.2,0.2,0.2,1
MT477851.1,0.19961883726191354,0.1999992592184553,0.19999999864017193,0.19999999999697474,0.19999999999999238,0.19999999999999998,0.2,0.2,0.2,0.2,0.2,0.2,1
MT477852.1,0.1996189218786763,0.19999925878634894,0.19999999863713847,0.19999999999696993,0.19999999999999235,0.19999999999999998,0.2,0.2,0.2,0.2,0.2,0.2,1
MT477853.1,0.1996190774462584,0.19999925988480605,0.1999999986406849,0.19999999999697857,0.1999999999999924,0.19999999999999998,0.2,0.2,0.2,0.2,0.2,0.2,1
MT477854.1,0.1996187976943188,0.19999925907273874,0.19999999863788004,0.19999999999697285,0.19999999999999238,0.19999999999999998,0.2,0.2,0.2,0.2,0.2,0.2,1
MT477855.1,0.1996187741654237,0.1999992587262416,0.19999999863860096,0.19999999999697202,0.19999999999999238,0.19999999999999998,0.2,0.2,0.2,0.2,0.2,0.2,1
MT477856.1,0.19961864292160314,0.19999925862809687,0.19999999863758194,0.19999999999696905,0.19999999999999238,0.19999999999999998,0.2,0.2,0.2,0.2,0.2,0.2,1
MT477857.1,0.19961892087530175,0.1999992601890267,0.19999999864200996,0.19999999999698306,0.1999999999999924,0.19999999999999998,0.2,0.2,0.2,0.2,0.2,0.2,1
MT477858.1,0.19961862415434586,0.19999925816410422,0.1999999986370999,0.1999999999969658,0.19999999999999238,0.19999999999999998,0.2,0.2,0.2,0.2,0.2,0.2,1
MT477859.1,0.19961889550871675,0.19999925896590667,0.19999999863868712,0.19999999999697093,0.19999999999999238,0.19999999999999998,0.2,0.2,0.2,0.2,0.2,0.2,1
MT477860.1,0.19961869236882618,0.19999925824727305,0.1999999986370014,0.19999999999696635,0.19999999999999238,0.19999999999999998,0.2,0.2,0.2,0.2,0.2,0.2,1
MT477861.1,0.19961859406625232,0.199999258102731,0.19999999863709245,0.19999999999697077,0.1999999999999924,0.19999999999999998,0.2,0.2,0.2,0.2,0.2,0.2,1
