nameseq,k1,k2,k3,k4,k5,k6,k7,k8,k9,k10,k11,k12,label
JX503060,0.1995435644920173,0.19999872004514208,0.19999999662822238,0.1999999999833929,0.19999999999993265,0.19999999999999973,0.2,0.2,0.2,0.2,0.2,0.2,0
JX503061,0.1995426901180364,0.19999871046842205,0.19999999660012277,0.19999999998317752,0.19999999999993076,0.19999999999999973,0.2,0.2,0.2,0.2,0.2,0.2,0
NC_006577,0.19906454901613077,0.19999617851881413,0.19999998519977025,0.19999999992293532,0.19999999999968687,0.1999999999999985,0.19999999999999998,0.2,0.2,0.2,0.2,0.2,0
MK167038,0.1990524187042861,0.1999962322921161,0.19999998557203627,0.19999999992571668,0.19999999999970727,0.19999999999999857,0.19999999999999998,0.2,0.2,0.2,0.2,0.2,0
MH940245,0.19904497364388207,0.19999618459381618,0.19999998549523673,0.19999999992645745,0.19999999999970486,0.19999999999999862,0.19999999999999998,0.2,0.2,0.2,0.2,0.2,0
KY674921,0.19908099900061688,0.1999962745542554,0.1999999854154954,0.1999999999245874,0.1999999999996635,0.19999999999996798,0.19999999999997026,0.1999999999999711,0.19999999999997187,0.19999999999997264,0.1999999999999734,0.19999999999997412,0
KY674941,0.19908437244388905,0.1999961810805876,0.19999998458478296,0.1999999999200428,0.1999999999996074,0.19999999999992932,0.19999999999993248,0.19999999999993412,0.1999999999999357,0.19999999999993726,0.19999999999993878,0.19999999999994028,0
KY674942,0.1990989784460178,0.19999631042156063,0.19999998533089627,0.19999999992466724,0.19999999999963736,0.19999999999993645,0.1999999999999393,0.19999999999994078,0.19999999999994222,0.1999999999999436,0.199999999999945,0.19999999999994633,0
KY674943,0.19909896961108442,0.1999963051666528,0.1999999852981833,0.19999999992459422,0.19999999999963808,0.19999999999993662,0.19999999999993948,0.19999999999994095,0.1999999999999424,0.19999999999994378,0.19999999999994514,0.1999999999999465,0
KT779555,0.1990571358596102,0.19999611825653077,0.19999998474018366,0.19999999991952844,0.19999999999967574,0.19999999999999843,0.19999999999999998,0.2,0.2,0.2,0.2,0.2,0
KT779556,0.19905756210228664,0.19999612270138242,0.19999998475068742,0.19999999991967077,0.1999999999996774,0.19999999999999843,0.19999999999999998,0.2,0.2,0.2,0.2,0.2,0
KF686340,0.19906788277870635,0.19999625772882101,0.19999998539526367,0.1999999999234242,0.19999999999968981,0.19999999999999848,0.19999999999999998,0.2,0.2,0.2,0.2,0.2,0
KF686341,0.19906059370456713,0.19999618296240543,0.19999998490802406,0.19999999992061773,0.19999999999968066,0.19999999999999848,0.19999999999999998,0.2,0.2,0.2,0.2,0.2,0
KF686342,0.1990576139451703,0.19999616302312398,0.1999999848144382,0.19999999992127523,0.19999999999968346,0.1999999999999985,0.19999999999999998,0.2,0.2,0.2,0.2,0.2,0
KF686343,0.19906722366726767,0.1999962511202107,0.199999985350265,0.19999999992228168,0.19999999999968013,0.1999999999999984,0.19999999999999998,0.2,0.2,0.2,0.2,0.2,0
KF686344,0.19904940821302938,0.19999608129040825,0.1999999845210528,0.19999999991890338,0.1999999999996768,0.1999999999999985,0.19999999999999998,0.2,0.2,0.2,0.2,0.2,0
KF686346,0.1990666913974261,0.19999624626323773,0.19999998531065816,0.19999999992220674,0.19999999999968007,0.1999999999999984,0.19999999999999998,0.2,0.2,0.2,0.2,0.2,0
KF430201,0.1990641661896282,0.19999622111124213,0.1999999851718567,0.19999999992190143,0.19999999999968274,0.19999999999999846,0.19999999999999998,0.2,0.2,0.2,0.2,0.2,0
HM034837,0.19906006212156813,0.19999614529627335,0.19999998494380605,0.19999999992052264,0.1999999999996742,0.19999999999999843,0.19999999999999998,0.2,0.2,0.2,0.2,0.2,0
MN306018,0.1992298799310097,0.1999967709257496,0.19999998931749918,0.19999999992488238,0.19999999999968718,0.19999999999999543,0.1999999999999974,0.19999999999999787,0.19999999999999823,0.19999999999999854,0.19999999999999882,0.19999999999999904,0
MN306040,0.19924690790116306,0.19999686504724853,0.19999998960972643,0.19999999992814554,0.19999999999960583,0.19999999999990645,0.19999999999992651,0.19999999999994042,0.1999999999999507,0.19999999999995943,0.19999999999996687,0.19999999999997314,0
MK334043,0.1991962444730586,0.1999966248801936,0.19999998874635413,0.19999999992480805,0.19999999999969037,0.19999999999999854,0.19999999999999998,0.2,0.2,0.2,0.2,0.2,0
MK334044,0.19919526445342828,0.19999661379162775,0.19999998867424315,0.19999999992343823,0.19999999999968385,0.1999999999999985,0.19999999999999998,0.2,0.2,0.2,0.2,0.2,0
MK334045,0.19920140389643387,0.19999666121040083,0.19999998885813053,0.1999999999213462,0.19999999999968285,0.19999999999999854,0.19999999999999998,0.2,0.2,0.2,0.2,0.2,0
MK334046,0.199189562705859,0.19999651233966564,0.19999998810501565,0.1999999999187462,0.19999999999968376,0.19999999999999848,0.19999999999999998,0.2,0.2,0.2,0.2,0.2,0
MK334047,0.1991946202942731,0.19999656741909122,0.19999998841616665,0.19999999992096346,0.19999999999968596,0.1999999999999985,0.19999999999999998,0.2,0.2,0.2,0.2,0.2,0
MG428699,0.19919252991222605,0.19999657150144268,0.19999998837518448,0.19999999992011303,0.1999999999996802,0.19999999999999848,0.19999999999999998,0.2,0.2,0.2,0.2,0.2,0
MG428701,0.1991964798494965,0.19999658912655915,0.19999998841203612,0.1999999999213462,0.1999999999996852,0.1999999999999985,0.19999999999999998,0.2,0.2,0.2,0.2,0.2,0
MG428702,0.19921120478393695,0.19999668071983964,0.19999998886562184,0.1999999999244452,0.19999999999968965,0.19999999999999835,0.19999999999999984,0.19999999999999987,0.1999999999999999,0.1999999999999999,0.19999999999999993,0.19999999999999993,0
MG428703,0.1991953185784726,0.19999660614800724,0.19999998845945688,0.19999999992123738,0.19999999999968665,0.1999999999999985,0.19999999999999998,0.2,0.2,0.2,0.2,0.2,0
MG428704,0.19919441059548654,0.19999657493880404,0.19999998817969544,0.19999999991728912,0.199999999999672,0.19999999999999843,0.19999999999999998,0.2,0.2,0.2,0.2,0.2,0
MG428705,0.19919610760083598,0.19999661861536586,0.1999999886635836,0.19999999992315784,0.19999999999969464,0.19999999999999857,0.19999999999999998,0.2,0.2,0.2,0.2,0.2,0
MG428706,0.1991964554782993,0.19999658954047286,0.19999998851173595,0.19999999992061981,0.19999999999967769,0.19999999999999846,0.19999999999999998,0.2,0.2,0.2,0.2,0.2,0
